Chats,Label
"[04:36:29 AM] Can we buy 15190 shares of XYZ at $67.46? [04:21:12 AM] Current rate is 1.02, let me know if you'd like to proceed.",Trade
"[04:34:49 AM] Can you share the latest draft of the quarterly report? [04:33:40 AM] It's scheduled for next week, still awaiting confirmations.",Non-trade
[04:53:52 AM] Need a quote on 16633 EUR/USD for a spot trade. [02:11:42 AM] Counterparty agrees. Done deal.,Trade
"[11:18:11 AM] What's the status of the quarterly compliance review? [04:55:18 AM] Yes, we need to discuss its implications during our next call.",Non-trade
[10:18:22 AM] Fill the order for 41493 shares of XYZ at $145.63. [06:21:43 AM] Order filled at $107.27.,Trade
"[08:40:32 AM] Did you see the new ESG regulations article? [03:42:25 AM] Sure, I’ll email it over in 5 minutes.",Non-trade
[10:33:17 AM] What’s the size on the offer for XYZ bonds at $137.76? [08:44:11 AM] Counterparty agrees. Done deal.,Trade
"[12:13:35 AM] What's the status of the quarterly compliance review? [07:21:27 AM] Yes, there’s a cake in the break room at {time}.",Non-trade
[12:25:45 AM] What’s the size on the offer for XYZ bonds at $92.64? [09:26:58 AM] Order filled at $142.66.,Trade
"[07:52:23 AM] What time is the meeting with the compliance team? [01:38:35 AM] Sure, I’ll email it over in 5 minutes.",Non-trade
"[12:35:41 AM] Can we execute a 1-year interest rate swap at 4.33% fixed? [10:11:41 AM] Current rate is 1.51, let me know if you'd like to proceed.",Trade
"[11:21:14 AM] Did you see the new ESG regulations article? [05:33:28 AM] Yes, there’s a cake in the break room at {time}.",Non-trade
[09:24:40 AM] Can we execute a 1-year interest rate swap at 3.61% fixed? [02:10:14 AM] There’s $16 million available.,Trade
"[04:43:16 AM] Are we doing anything for Alex's birthday tomorrow? [09:35:35 AM] Sure, I’ll email it over in 5 minutes.",Non-trade
[07:30:38 AM] Can we buy 17488 shares of ABC at $117.96? [07:24:35 AM] There’s $17 million available.,Trade
"[05:42:26 AM] What time is the meeting with the compliance team? [06:39:22 AM] Sure, I’ll email it over in 5 minutes.",Non-trade
